region,lat,lng
"Bourgueil, Loire Valley, France",47.2827691,0.1788873
"Meursault, Burgundy, France",nan,nan
"Beaumes-de-Venise, Rhône Valley, France",nan,nan
"Ventoux, Rhône Valley, France",nan,nan
"Fronton, Southwest France, France",nan,nan
"Vouvray, Loire Valley, France",47.4136687,0.7998446
"San Benito County, Central Coast, California, US",nan,nan
"Conero, Central Italy, Italy",nan,nan
"Saint-Julien, Bordeaux, France",44.792984,-0.5040716
"Amarone della Valpolicella, Veneto, Italy",nan,nan
"San Luis Obispo County, Central Coast, California, US",nan,nan
"Côtes du Marmandais, Southwest France, France",nan,nan
"Utiel-Requena, Levante, Spain",39.5229289,-1.1495788
"Tupungato, Mendoza Province, Argentina",-38.9694974,-68.0763723
"Côtes de Bourg, Bordeaux, France",nan,nan
"Central Otago, New Zealand",-45.1308846,169.63289538617886
"Coteaux Bourguignons, Burgundy, France",nan,nan
"Ribera del Guadiana, Central Spain, Spain",nan,nan
"Lalande de Pomerol, Bordeaux, France",nan,nan
"Corton, Burgundy, France",nan,nan
"Dolcetto d'Alba, Piedmont, Italy",nan,nan
"Texas Hill Country, Texas, US",29.476061,-98.7454365
"Costers del Segre, Catalonia, Spain",41.502298249999996,0.8273990115524253
"Vino de la Tierra de Castilla, Central Spain, Spain",nan,nan
"La Rioja, Other, Argentina",nan,nan
"Provincia di Pavia, Lombardy, Italy",45.036854649999995,9.137825082826026
"Cape South Coast, South Africa",-38.55963265,145.34333231093714
"Dogliani, Piedmont, Italy",nan,nan
"Coastal Region, South Africa",12.2571865,121.9907498
"Knights Valley, Sonoma, California, US",nan,nan
"Chehalem Mountains, Willamette Valley, Oregon, US",nan,nan
"Lambrusco Grasparossa di Castelvetro, Central Italy, Italy",nan,nan
"Côtes de Provence Sainte-Victoire, Provence, France",nan,nan
"Puglia, Southern Italy, Italy",nan,nan
"Maipú, Mendoza Province, Argentina",-38.8281404,-68.0662409
"Getariako Txakolina, Northern Spain, Spain",nan,nan
"Morellino di Scansano, Tuscany, Italy",42.712553650000004,11.228051603392505
"Marsannay, Burgundy, France",nan,nan
"Constantia, South Africa",-34.0230827,18.43672289993134
"Saint-Estèphe, Bordeaux, France",44.8973682,-0.58424555
"Chorey-lès-Beaune, Burgundy, France",nan,nan
"Abruzzo, Central Italy, Italy",nan,nan
"Uco Valley, Mendoza Province, Argentina",nan,nan
"Clare Valley, South Australia, Australia",-33.7890862,138.59055698355974
"Halkidiki, Greece",40.28948215,23.409392443373925
"Montepulciano d'Abruzzo Colline Teramane, Central Italy, Italy",nan,nan
"Marin County, North Coast, California, US",nan,nan
"Chianti, Tuscany, Italy",43.5824597,11.3168731
"Crozes-Hermitage, Rhône Valley, France",nan,nan
"Australia, Australia Other, Australia",nan,nan
"Rosso del Veronese, Veneto, Italy",nan,nan
"Albana di Romagna, Central Italy, Italy",nan,nan
"Galil, Israel",31.8928748,35.0202019
"Sable de Camargue, Languedoc-Roussillon, France",nan,nan
"Brouilly, Beaujolais, France",46.1134287,4.6432042
"Fiddletown, Sierra Foothills, California, US",nan,nan
"Elqui Valley, Chile",-29.9767491,-70.5530583
"Tumbarumba, New South Wales, Australia",-35.7764898,148.010062
"Trentino, Northeastern Italy, Italy",nan,nan
"Obidos, Portugal",39.3619514,-9.157153
"Isonzo del Friuli, Northeastern Italy, Italy",nan,nan
"Blanquette de Limoux, Languedoc-Roussillon, France",nan,nan
"Quincy, Loire Valley, France",47.133365,2.1574605
"Venezie, Northeastern Italy, Italy",nan,nan
"Adelaida District, Central Coast, California, US",nan,nan
"Recioto della Valpolicella Classico, Veneto, Italy",nan,nan
"Río Negro Valley, Other, Argentina",nan,nan
"Gavi di Gavi, Piedmont, Italy",nan,nan
"Malvasia delle Lipari, Sicily & Sardinia, Italy",nan,nan
"McLaren Vale-Padthaway, South Australia, Australia",nan,nan
"Yountville, Napa, California, US",38.4022008,-122.359506
"Pacherenc du Vic Bilh, Southwest France, France",nan,nan
"Francs Côtes de Bordeaux, Bordeaux, France",nan,nan
"South Coast, South Coast, California, US",33.691104949999996,-117.88857681399966
"Walker Bay, South Africa",-34.5563889,19.3416667
"Riverina, New South Wales, Australia",-35.0569397,147.4229787566404
"Moscato d'Asti, Piedmont, Italy",nan,nan
"Outer Coastal Plain, New Jersey, US",nan,nan
"Coteaux du Giennois, Loire Valley, France",47.6831795,2.6534443
"Prosecco di Conegliano, Veneto, Italy",nan,nan
"Chinon, Loire Valley, France",47.1667182,0.2402095
"Valtellina Superiore, Lombardy, Italy",nan,nan
"Santenay, Burgundy, France",nan,nan
"Veneto, Veneto, Italy",45.437878,10.7543423
"Mendoza Province, Argentina",-31.4049307,-58.0194721
"Palmela, Portugal",38.569601,-8.9011653
"Yolo County, Central Valley, California, US",nan,nan
"Vin Santo del Chianti Rufina, Tuscany, Italy",nan,nan
"Listrac-Médoc, Bordeaux, France",44.9133173,-0.6828554
"Upper Galilee, Israel",33.1944091,35.5681667
"Bergerac, Southwest France, France",nan,nan
"Paraje Altamira, Mendoza Province, Argentina",-34.7820998,-58.2603971
"Jonkershoek Valley, South Africa",nan,nan
"Temecula, South Coast, California, US",nan,nan
"Cayuga Lake, Finger Lakes, New York, US",nan,nan
"Saint-Péray, Rhône Valley, France",nan,nan
"Fronsac, Bordeaux, France",44.8424048,-0.799658
"Columbia Gorge (OR), Oregon Other, Oregon, US",nan,nan
"Irpinia, Southern Italy, Italy",nan,nan
"Côtes-du-Ventoux, Rhône Valley, France",nan,nan
"Bío Bío Valley, Chile",nan,nan
"Pirque, Chile",-33.6348808,-70.5729961
"Extremadura, Central Spain, Spain",41.7196477,-1.032899
"Saint-Nicolas-de-Bourgueil, Loire Valley, France",47.2843794,0.1256895
"Côtes du Roussillon, Languedoc-Roussillon, France",nan,nan
"Friuli, Northeastern Italy, Italy",nan,nan
"Terras do Sado, Portugal",nan,nan
"Applegate Valley, Southern Oregon, Oregon, US",nan,nan
"Adelaide, South Australia, Australia",-34.9281805,138.5999312
"Tulbagh, South Africa",-33.285059,19.140667
"Costières de Nîmes, Rhône Valley, France",nan,nan
"Wahluke Slope, Columbia Valley, Washington, US",nan,nan
"Gevrey-Chambertin, Burgundy, France",nan,nan
"$8,Buy Now",nan,nan
"Mâcon-Chardonnay, Burgundy, France",nan,nan
"Carneros-Napa Valley, Napa, California, US",nan,nan
"Côte Roannaise, Loire Valley, France",nan,nan
"Elgin, South Africa",-34.1486111,19.0427778
"Península de Setúbal, Portugal",38.6272781,-8.929688654264213
"Taurasi, Southern Italy, Italy",nan,nan
"Shomron, Israel",32.1800865,34.9080973
